Well;SampleID;Zone;Porosity;Permeability_Kl;Rt;Sw;RI;Temp;Rw;Salinity;Condition
2PO;24082-18;AC11;20.29229478;16.552;13.72952032;64.12349532;2.174705627;20;0.379900033;17.6;AC
2PO;24092-18;AC11;19.82090239;2.994;9.47134412;81.49313104;1.450288906;20;0.379900033;17.6;AC
2PO;24098-18;AC11;18.87915598;5.976;12.99886014;71.76219823;1.846174067;20;0.379900033;17.6;AC
2PO;24100-18;AC11;14.23228434;0.501;13.83320385;91.79369128;1.170199002;20;0.379900033;17.6;AC
2PO;24111-18;AC11;19.99468799;12.851;15.23130585;63.78953659;2.226693163;20;0.379900033;17.6;AC
2PO;24117-18;AC11;18.59981003;2.723;9.142444441;86.58136804;1.252275228;20;0.379900033;17.6;AC
3PO;25052-18;AC11;19.7773667;15.453;16.43747492;63.43755217;2.162830005;20;0.379900033;17.6;AC
3PO;25095-18;AC11;19.74812938;7.399;12.77165726;74.38695862;1.753101837;20;0.379900033;17.6;AC
3PO;25099-18;AC11;20.27827282;11.522;13.07539361;69.63163873;1.863770426;20;0.379900033;17.6;AC
3PO;25114-18;AC11;19.42937384;8.544;12.68411146;71.37729076;1.77577811;20;0.379900033;17.6;AC
3PO;25126-18;AC11;19.25028439;7.985;14.22729902;70.13419647;1.840386836;20;0.379900033;17.6;AC
3PO;25140-18;AC11;19.27715788;6.857;13.06822933;73.61308164;1.739944002;20;0.379900033;17.6;AC
3PO;25145-18;AC11;17.28018284;1.683;11.31986379;88.93117232;1.224330092;20;0.379900033;17.6;AC
3PO;25146-18;AC11;19.00129912;7.502;12.1286615;73.86433584;1.643523299;20;0.379900033;17.6;AC
3PO;25147-18;AC11;15.09512369;0.431;13.94101543;93.67333082;1.111257768;20;0.379900033;17.6;AC
3PO;25148-18;AC11;18.99587545;3.102;11.46909437;86.02687397;1.345304154;20;0.379900033;17.6;AC
3PO;25151-18;AC11;20.1894765;10.439;13.38036384;71.33549722;1.847566043;20;0.379900033;17.6;AC
3PO;25152-18;AC11;20.3202994;9.916;13.6628397;71.37740073;1.821928468;20;0.379900033;17.6;AC
3PO;25157-18;AC11;14.16730114;0.19;13.97517611;93.62662049;1.119467506;20;0.379900033;17.6;AC
3PO;25171-18;AC11;17.22999093;0.853;11.34766979;91.18529632;1.145021129;20;0.379900033;17.6;AC
3PO;25175-18;AC11;19.25539053;4.723;13.97137138;76.40561033;1.674514222;20;0.379900033;17.6;AC
3PO;25188-18;AC11;9.460859953;0.014;28.32110276;98.02433681;1.038235646;20;0.379900033;17.6;AC
8PO;24565-18;AC11;19.30228399;8.161;14.35699689;72.29688824;1.723810219;20;0.379900033;17.6;AC
8PO;24566-18;AC11;16.58692185;0.604;11.78085907;92.38783635;1.173736641;20;0.379900033;17.6;AC
8PO;24586-18;AC11;20.05746045;8.076;11.66036669;76.57820388;1.580635869;20;0.379900033;17.6;AC
